Plugin,URL
Rubymetrics Plugin,https://github.com/jenkinsci/rubymetrics-plugin
Rake Plugin,https://github.com/jenkinsci/rake-plugin
Analysis Test Plugin,https://github.com/jenkinsci/analysis-test-plugin
Analysis Collector Plugin,https://github.com/jenkinsci/analysis-collector-plugin
Backlog Plugin,https://github.com/jenkinsci/backlog-plugin
Analysis Core Plugin,https://github.com/jenkinsci/analysis-core-plugin
Build Publisher Plugin,https://github.com/jenkinsci/build-publisher-plugin
Cmakebuilder Plugin,https://github.com/jenkinsci/cmakebuilder-plugin
Copy To Slave Plugin,https://github.com/jenkinsci/copy-to-slave-plugin
Cppncss Plugin,https://github.com/jenkinsci/cppncss-plugin
Createjobadvanced Plugin,https://github.com/jenkinsci/createjobadvanced-plugin
Cygpath Plugin,https://github.com/jenkinsci/cygpath-plugin
Checkstyle Plugin,https://github.com/jenkinsci/checkstyle-plugin
Filesystem_scm Plugin,https://github.com/jenkinsci/filesystem_scm-plugin
Fitnesse Plugin,https://github.com/jenkinsci/fitnesse-plugin
Emma Plugin,https://github.com/jenkinsci/emma-plugin
Greenballs Plugin,https://github.com/jenkinsci/greenballs-plugin
Javatest Report Plugin,https://github.com/jenkinsci/javatest-report-plugin
Jobtype Column Plugin,https://github.com/jenkinsci/jobtype-column-plugin
Jquery Plugin,https://github.com/jenkinsci/jquery-plugin
Jquery Ui Plugin,https://github.com/jenkinsci/jquery-ui-plugin
Log Parser Plugin,https://github.com/jenkinsci/log-parser-plugin
Nodenamecolumn Plugin,https://github.com/jenkinsci/nodenamecolumn-plugin
Pvcs_scm Plugin,https://github.com/jenkinsci/pvcs_scm-plugin
Python Plugin,https://github.com/jenkinsci/python-plugin
Repository Connector Plugin,https://github.com/jenkinsci/repository-connector-plugin
Redmine Plugin,https://github.com/jenkinsci/redmine-plugin
Sectioned View Plugin,https://github.com/jenkinsci/sectioned-view-plugin
Shelve Project Plugin,https://github.com/jenkinsci/shelve-project-plugin
Sounds Plugin,https://github.com/jenkinsci/sounds-plugin
Testlink Plugin,https://github.com/jenkinsci/testlink-plugin
Tmpcleaner Plugin,https://github.com/jenkinsci/tmpcleaner-plugin
Toolenv Plugin,https://github.com/jenkinsci/toolenv-plugin
Ssh Plugin,https://github.com/jenkinsci/ssh-plugin
Translation Plugin,https://github.com/jenkinsci/translation-plugin
Tfs Plugin,https://github.com/jenkinsci/tfs-plugin
Wsclean Plugin,https://github.com/jenkinsci/wsclean-plugin
Klaros Testmanagement Plugin,https://github.com/jenkinsci/klaros-testmanagement-plugin
Selenium Plugin,https://github.com/jenkinsci/selenium-plugin
Dry Plugin,https://github.com/jenkinsci/dry-plugin
Pmd Plugin,https://github.com/jenkinsci/pmd-plugin
Tasks Plugin,https://github.com/jenkinsci/tasks-plugin
Findbugs Plugin,https://github.com/jenkinsci/findbugs-plugin
Notification Plugin,https://github.com/jenkinsci/notification-plugin
Exclude Matrix Parent Plugin,https://github.com/jenkinsci/exclude-matrix-parent-plugin
Rundeck Plugin,https://github.com/jenkinsci/rundeck-plugin
Plasticscm Plugin,https://github.com/jenkinsci/plasticscm-plugin
Publish Over Cifs Plugin,https://github.com/jenkinsci/publish-over-cifs-plugin
Matrix Reloaded Plugin,https://github.com/jenkinsci/matrix-reloaded-plugin
Ivytrigger Plugin,https://github.com/jenkinsci/ivytrigger-plugin
Scripttrigger Plugin,https://github.com/jenkinsci/scripttrigger-plugin
Urltrigger Plugin,https://github.com/jenkinsci/urltrigger-plugin
Offlineonfailure Plugin,https://github.com/jenkinsci/offlineonfailure-plugin
Ssh Cli Auth Module,https://github.com/jenkinsci/ssh-cli-auth-module
Fstrigger Plugin,https://github.com/jenkinsci/fstrigger-plugin
Job Import Plugin,https://github.com/jenkinsci/job-import-plugin
Ruby Runtime Plugin,https://github.com/jenkinsci/ruby-runtime-plugin
Repo Plugin,https://github.com/jenkinsci/repo-plugin
Project Description Setter Plugin,https://github.com/jenkinsci/project-description-setter-plugin
Buildresult Trigger Plugin,https://github.com/jenkinsci/buildresult-trigger-plugin
Description Column Plugin,https://github.com/jenkinsci/description-column-plugin
All Changes Plugin,https://github.com/jenkinsci/all-changes-plugin
Shiningpanda Plugin,https://github.com/jenkinsci/shiningpanda-plugin
Clearcase Ucm Plugin,https://github.com/jenkinsci/clearcase-ucm-plugin
Dtkit Plugin,https://github.com/jenkinsci/dtkit-plugin
Multi Slave Config Plugin,https://github.com/jenkinsci/multi-slave-config-plugin
Vsphere Cloud Plugin,https://github.com/jenkinsci/vsphere-cloud-plugin
Html5 Notifier Plugin,https://github.com/jenkinsci/html5-notifier-plugin
Xcode Plugin,https://github.com/jenkinsci/xcode-plugin
Computer Queue Plugin,https://github.com/jenkinsci/computer-queue-plugin
Jira Issue Updater Plugin,https://github.com/jenkinsci/jira-issue-updater-plugin
Countjobs Viewstabbar Plugin,https://github.com/jenkinsci/countjobs-viewstabbar-plugin
Hipchat Plugin,https://github.com/jenkinsci/hipchat-plugin
Keyboard Shortcuts Plugin,https://github.com/jenkinsci/keyboard-shortcuts-plugin
Xvfb Plugin,https://github.com/jenkinsci/xvfb-plugin
Custom Tools Plugin,https://github.com/jenkinsci/custom-tools-plugin
Android Lint Plugin,https://github.com/jenkinsci/android-lint-plugin
Smartfrog Plugin,https://github.com/jenkinsci/smartfrog-plugin
Matrix Sorter Plugin,https://github.com/jenkinsci/Matrix-sorter-plugin
Read Only Configurations Plugin,https://github.com/jenkinsci/read-only-configurations-plugin
