Plugin,Repository,URL,Has_JDK17,Has_JDK21,Has_JDK25,Jenkinsfile_URL,Has_Jenkinsfile
42crunch Security Audit Plugin,jenkinsci/42crunch-security-audit-plugin,https://github.com/jenkinsci/42crunch-security-audit-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/42crunch-security-audit-plugin/master/Jenkinsfile,true
Abap Ci Plugin,jenkinsci/abap-ci-plugin,https://github.com/jenkinsci/abap-ci-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/abap-ci-plugin/master/Jenkinsfile,true
Absint A3 Plugin,jenkinsci/absint-a3-plugin,https://github.com/jenkinsci/absint-a3-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/absint-a3-plugin/master/Jenkinsfile,true
Absint Astree Plugin,jenkinsci/absint-astree-plugin,https://github.com/jenkinsci/absint-astree-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/absint-astree-plugin/master/Jenkinsfile,true
Accelerated Build Now Plugin,jenkinsci/accelerated-build-now-plugin,https://github.com/jenkinsci/accelerated-build-now-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/accelerated-build-now-plugin/master/Jenkinsfile,false
Accelq Ci Connect Plugin,jenkinsci/accelq-ci-connect-plugin,https://github.com/jenkinsci/accelq-ci-connect-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/accelq-ci-connect-plugin/main/Jenkinsfile,true
Accurev Plugin,jenkinsci/accurev-plugin,https://github.com/jenkinsci/accurev-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/accurev-plugin/master/Jenkinsfile,true
Active Choices Plugin,jenkinsci/active-choices-plugin,https://github.com/jenkinsci/active-choices-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/active-choices-plugin/master/Jenkinsfile,true
Active Directory Plugin,jenkinsci/active-directory-plugin,https://github.com/jenkinsci/active-directory-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/active-directory-plugin/master/Jenkinsfile,true
Acunetix 360 Scan Plugin,jenkinsci/acunetix-360-scan-plugin,https://github.com/jenkinsci/acunetix-360-scan-plugin,false,true,false,https://raw.githubusercontent.com/jenkinsci/acunetix-360-scan-plugin/master/Jenkinsfile,true
Acunetix Plugin,jenkinsci/acunetix-plugin,https://github.com/jenkinsci/acunetix-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/acunetix-plugin/master/Jenkinsfile,false
Adaptive Disconnector Plugin,jenkinsci/adaptive-disconnector-plugin,https://github.com/jenkinsci/adaptive-disconnector-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/adaptive-disconnector-plugin/master/Jenkinsfile,true
Add Changes To Build Changelog Plugin,jenkinsci/add-changes-to-build-changelog-plugin,https://github.com/jenkinsci/add-changes-to-build-changelog-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/add-changes-to-build-changelog-plugin/main/Jenkinsfile,true
Additional Identities Plugin,jenkinsci/additional-identities-plugin,https://github.com/jenkinsci/additional-identities-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/additional-identities-plugin/main/Jenkinsfile,true
Additional Metrics Plugin,jenkinsci/additional-metrics-plugin,https://github.com/jenkinsci/additional-metrics-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/additional-metrics-plugin/master/Jenkinsfile,true
Admin Params Plugin,jenkinsci/admin-params-plugin,https://github.com/jenkinsci/admin-params-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/admin-params-plugin/main/Jenkinsfile,true
Adobe Cloud Manager Plugin,jenkinsci/adobe-cloud-manager-plugin,https://github.com/jenkinsci/adobe-cloud-manager-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/adobe-cloud-manager-plugin/master/Jenkinsfile,true
Adoptopenjdk Plugin,jenkinsci/adoptopenjdk-plugin,https://github.com/jenkinsci/adoptopenjdk-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/adoptopenjdk-plugin/master/Jenkinsfile,true
Advanced Installer Msi Builder Plugin,jenkinsci/advanced-installer-msi-builder-plugin,https://github.com/jenkinsci/advanced-installer-msi-builder-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/advanced-installer-msi-builder-plugin/master/Jenkinsfile,false
Agent Loadbalance Plugin,jenkinsci/agent-loadbalance-plugin,https://github.com/jenkinsci/agent-loadbalance-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/agent-loadbalance-plugin/master/Jenkinsfile,false
Agent Maintenance Plugin,jenkinsci/agent-maintenance-plugin,https://github.com/jenkinsci/agent-maintenance-plugin,false,true,false,https://raw.githubusercontent.com/jenkinsci/agent-maintenance-plugin/main/Jenkinsfile,true
Agent Server Parameter Plugin,jenkinsci/agent-server-parameter-plugin,https://github.com/jenkinsci/agent-server-parameter-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/agent-server-parameter-plugin/master/Jenkinsfile,true
Agent Setup Plugin,jenkinsci/agent-setup-plugin,https://github.com/jenkinsci/agent-setup-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/agent-setup-plugin/master/Jenkinsfile,true
Aio Tests Plugin,jenkinsci/aio-tests-plugin,https://github.com/jenkinsci/aio-tests-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/aio-tests-plugin/master/Jenkinsfile,true
Akeyless Plugin,jenkinsci/akeyless-plugin,https://github.com/jenkinsci/akeyless-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/akeyless-plugin/main/Jenkinsfile,true
Alauda Devops Credentials Provider Plugin,jenkinsci/alauda-devops-credentials-provider-plugin,https://github.com/jenkinsci/alauda-devops-credentials-provider-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/alauda-devops-credentials-provider-plugin/master/Jenkinsfile,true
Alauda Devops Pipeline Plugin,jenkinsci/alauda-devops-pipeline-plugin,https://github.com/jenkinsci/alauda-devops-pipeline-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/alauda-devops-pipeline-plugin/master/Jenkinsfile,true
Alauda Devops Sync Plugin,jenkinsci/alauda-devops-sync-plugin,https://github.com/jenkinsci/alauda-devops-sync-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/alauda-devops-sync-plugin/master/Jenkinsfile,true
