Plugin,Repository,URL,Has_JDK25,JDK25_Commit_SHA,JDK25_Commit_Date,JDK25_PR_Number,JDK25_PR_URL,Is_Merged,Jenkinsfile_URL,Has_Jenkinsfile
Active Choices Plugin,jenkinsci/active-choices-plugin,https://github.com/jenkinsci/active-choices-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/active-choices-plugin/master/Jenkinsfile,true
Active Directory Plugin,jenkinsci/active-directory-plugin,https://github.com/jenkinsci/active-directory-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/active-directory-plugin/master/Jenkinsfile,true
Allure Plugin,jenkinsci/allure-plugin,https://github.com/jenkinsci/allure-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/allure-plugin/master/Jenkinsfile,false
Analysis Model Api Plugin,jenkinsci/analysis-model-api-plugin,https://github.com/jenkinsci/analysis-model-api-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/analysis-model-api-plugin/main/Jenkinsfile,true
Ansible Plugin,jenkinsci/ansible-plugin,https://github.com/jenkinsci/ansible-plugin,true,d4cde55a4020b4f3b58d77a435b11de64fa842e3,2025-08-11T07:30:57Z,340,https://github.com/jenkinsci/ansible-plugin/pull/340,true,https://raw.githubusercontent.com/jenkinsci/ansible-plugin/main/Jenkinsfile,true
Ansicolor Plugin,jenkinsci/ansicolor-plugin,https://github.com/jenkinsci/ansicolor-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/ansicolor-plugin/master/Jenkinsfile,true
Ant Plugin,jenkinsci/ant-plugin,https://github.com/jenkinsci/ant-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/ant-plugin/master/Jenkinsfile,true
Antisamy Markup Formatter Plugin,jenkinsci/antisamy-markup-formatter-plugin,https://github.com/jenkinsci/antisamy-markup-formatter-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/antisamy-markup-formatter-plugin/master/Jenkinsfile,true
Apache Httpcomponents Client 4 Api Plugin,jenkinsci/apache-httpcomponents-client-4-api-plugin,https://github.com/jenkinsci/apache-httpcomponents-client-4-api-plugin,true,49197890c1c1876cc9b597424a1821214285f1e0,2025-10-25T14:11:34Z,265,https://github.com/jenkinsci/apache-httpcomponents-client-4-api-plugin/pull/265,true,https://raw.githubusercontent.com/jenkinsci/apache-httpcomponents-client-4-api-plugin/master/Jenkinsfile,true
Apache Httpcomponents Client 5 Api Plugin,jenkinsci/apache-httpcomponents-client-5-api-plugin,https://github.com/jenkinsci/apache-httpcomponents-client-5-api-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/apache-httpcomponents-client-5-api-plugin/main/Jenkinsfile,true
Artifactory Plugin,jenkinsci/artifactory-plugin,https://github.com/jenkinsci/artifactory-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/artifactory-plugin/master/Jenkinsfile,false
Asm Api Plugin,jenkinsci/asm-api-plugin,https://github.com/jenkinsci/asm-api-plugin,true,c6b67b7c258660dcbaef8d31ee273ad79aa11462,2025-08-09T08:40:50Z,91,https://github.com/jenkinsci/asm-api-plugin/pull/91,true,https://raw.githubusercontent.com/jenkinsci/asm-api-plugin/main/Jenkinsfile,true
Authentication Tokens Plugin,jenkinsci/authentication-tokens-plugin,https://github.com/jenkinsci/authentication-tokens-plugin,true,2ff7786695582dc3b09286841e2b2f0cd2f933f2,2025-08-08T15:43:51Z,223,https://github.com/jenkinsci/authentication-tokens-plugin/pull/223,true,https://raw.githubusercontent.com/jenkinsci/authentication-tokens-plugin/master/Jenkinsfile,true
Authorize Project Plugin,jenkinsci/authorize-project-plugin,https://github.com/jenkinsci/authorize-project-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/authorize-project-plugin/master/Jenkinsfile,true
Aws Credentials Plugin,jenkinsci/aws-credentials-plugin,https://github.com/jenkinsci/aws-credentials-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/aws-credentials-plugin/master/Jenkinsfile,true
Aws Java Sdk Plugin,jenkinsci/aws-java-sdk-plugin,https://github.com/jenkinsci/aws-java-sdk-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/aws-java-sdk-plugin/master/Jenkinsfile,true
Badge Plugin,jenkinsci/badge-plugin,https://github.com/jenkinsci/badge-plugin,true,429bb7712add1886a88a53cc5380a22163913704,2025-10-25T18:49:51Z,313,https://github.com/jenkinsci/badge-plugin/pull/313,true,https://raw.githubusercontent.com/jenkinsci/badge-plugin/master/Jenkinsfile,true
